image_name,Type_1,Type_2,Type_3
0.jpg,0.02887,0.96368,0.00745
1.jpg,0.00914,0.88135,0.10951
2.jpg,0.97655,0.02337,0.00008
3.jpg,0.05800,0.53484,0.40716
4.jpg,0.02557,0.16112,0.81331
5.jpg,0.01578,0.98422,0.00000
6.jpg,0.00639,0.99358,0.00003
7.jpg,0.00125,0.83104,0.16771
8.jpg,0.21681,0.77768,0.00551
9.jpg,0.00190,0.90635,0.09175
10.jpg,0.01045,0.98954,0.00001
11.jpg,0.07109,0.03256,0.89635
12.jpg,0.09190,0.20670,0.70140
13.jpg,0.00549,0.52711,0.46740
14.jpg,0.00046,0.94628,0.05326
15.jpg,0.20982,0.24128,0.54890
16.jpg,0.25191,0.74059,0.00751
17.jpg,0.42398,0.56152,0.01450
18.jpg,0.32184,0.67647,0.00168
19.jpg,0.17042,0.33875,0.49083
20.jpg,0.89038,0.10959,0.00004
21.jpg,0.00824,0.99176,0.00000
22.jpg,0.04170,0.95801,0.00030
23.jpg,0.67775,0.30844,0.01381
24.jpg,0.00984,0.98817,0.00200
25.jpg,0.07656,0.82869,0.09475
26.jpg,0.09357,0.90305,0.00338
27.jpg,0.00005,0.35002,0.64993
28.jpg,0.17253,0.38884,0.43863
29.jpg,0.04956,0.46829,0.48215
30.jpg,0.55879,0.35730,0.08391
31.jpg,0.08577,0.89759,0.01664
32.jpg,0.02182,0.46314,0.51504
33.jpg,0.14159,0.46525,0.39315
34.jpg,0.12746,0.67758,0.19497
35.jpg,0.00012,0.00027,0.99961
36.jpg,0.18972,0.81016,0.00012
37.jpg,0.09569,0.90420,0.00011
38.jpg,0.32509,0.66111,0.01380
39.jpg,0.16486,0.66654,0.16860
40.jpg,0.00412,0.83233,0.16354
41.jpg,0.00494,0.81553,0.17952
42.jpg,0.00029,0.98967,0.01004
43.jpg,0.00213,0.96666,0.03121
44.jpg,0.09615,0.60970,0.29415
45.jpg,0.00036,0.00204,0.99760
46.jpg,0.56854,0.20519,0.22627
47.jpg,0.99311,0.00684,0.00005
48.jpg,0.00546,0.27673,0.71781
49.jpg,0.03381,0.20593,0.76025
50.jpg,0.03370,0.08441,0.88188
51.jpg,0.98255,0.01744,0.00001
52.jpg,0.02673,0.19088,0.78239
53.jpg,0.72486,0.06258,0.21256
54.jpg,0.00041,0.01052,0.98907
55.jpg,0.00300,0.62869,0.36832
56.jpg,0.00002,0.93434,0.06565
57.jpg,0.36723,0.63052,0.00225
58.jpg,0.00039,0.11088,0.88873
59.jpg,0.99996,0.00002,0.00002
60.jpg,0.02792,0.25398,0.71809
61.jpg,0.01693,0.98304,0.00003
62.jpg,0.00920,0.19596,0.79484
63.jpg,0.00002,0.89715,0.10283
64.jpg,0.18167,0.76242,0.05592
65.jpg,0.97291,0.02697,0.00012
66.jpg,0.14813,0.03062,0.82126
67.jpg,0.00730,0.36882,0.62388
68.jpg,0.07589,0.74780,0.17631
69.jpg,0.08676,0.85423,0.05901
70.jpg,0.85482,0.14498,0.00020
71.jpg,0.01788,0.95949,0.02263
72.jpg,0.00995,0.99003,0.00002
73.jpg,0.65406,0.29094,0.05500
74.jpg,0.01546,0.83178,0.15276
75.jpg,0.01080,0.95371,0.03549
76.jpg,0.00438,0.24434,0.75128
77.jpg,0.25460,0.49004,0.25536
78.jpg,0.01903,0.03673,0.94425
79.jpg,0.99448,0.00552,0.00000
80.jpg,0.00595,0.96051,0.03354
81.jpg,0.03215,0.93624,0.03161
82.jpg,0.35353,0.64325,0.00322
83.jpg,0.01963,0.18791,0.79246
84.jpg,0.02833,0.58761,0.38406
85.jpg,0.00015,0.99973,0.00012
86.jpg,0.11179,0.34269,0.54552
87.jpg,0.00011,0.35798,0.64191
88.jpg,0.18050,0.69746,0.12204
89.jpg,0.00383,0.25604,0.74013
90.jpg,0.93905,0.06095,0.00000
91.jpg,0.51046,0.27881,0.21072
92.jpg,0.00859,0.18645,0.80496
93.jpg,0.06901,0.88083,0.05016
94.jpg,0.06271,0.92537,0.01192
95.jpg,0.02222,0.85425,0.12353
96.jpg,0.99376,0.00524,0.00100
97.jpg,0.01977,0.59298,0.38725
98.jpg,0.00520,0.99472,0.00008
99.jpg,0.00069,0.44426,0.55504
100.jpg,0.01211,0.87239,0.11550
101.jpg,0.34827,0.61998,0.03174
102.jpg,0.14913,0.71110,0.13977
103.jpg,0.31239,0.39392,0.29368
104.jpg,0.01572,0.60003,0.38425
105.jpg,0.01745,0.49035,0.49220
106.jpg,0.01645,0.95282,0.03073
107.jpg,0.00000,0.84530,0.15470
108.jpg,0.01537,0.76539,0.21924
109.jpg,0.03619,0.03200,0.93181
110.jpg,0.00306,0.99601,0.00094
111.jpg,0.05303,0.75378,0.19318
112.jpg,0.00871,0.14639,0.84490
113.jpg,0.01328,0.23944,0.74729
114.jpg,0.00020,0.10405,0.89575
115.jpg,0.05405,0.85947,0.08648
116.jpg,0.00379,0.15051,0.84569
117.jpg,0.15404,0.84348,0.00247
118.jpg,0.01018,0.14581,0.84401
119.jpg,0.00714,0.67286,0.32000
120.jpg,0.09016,0.88115,0.02868
121.jpg,0.04237,0.93242,0.02521
122.jpg,0.01065,0.30098,0.68837
123.jpg,0.36519,0.63137,0.00344
124.jpg,0.06689,0.03695,0.89616
125.jpg,0.00752,0.31359,0.67889
126.jpg,0.05840,0.86416,0.07744
127.jpg,0.00082,0.98804,0.01113
128.jpg,0.02372,0.97628,0.00000
129.jpg,0.00254,0.99742,0.00004
130.jpg,0.38163,0.59599,0.02238
131.jpg,0.14798,0.07453,0.77749
132.jpg,0.57933,0.15111,0.26956
133.jpg,0.01110,0.26398,0.72492
134.jpg,0.00004,0.99453,0.00542
135.jpg,0.02453,0.93940,0.03607
136.jpg,0.00001,0.99939,0.00060
137.jpg,0.57369,0.31916,0.10715
138.jpg,0.00936,0.87604,0.11460
139.jpg,0.25007,0.74545,0.00448
140.jpg,0.12011,0.87432,0.00557
141.jpg,0.07593,0.12015,0.80393
142.jpg,0.95714,0.04285,0.00000
143.jpg,0.07966,0.11303,0.80731
144.jpg,0.16133,0.83302,0.00566
145.jpg,0.00039,0.58602,0.41359
146.jpg,0.00368,0.99631,0.00000
147.jpg,0.02751,0.96911,0.00338
148.jpg,0.10834,0.67926,0.21240
149.jpg,0.04282,0.37084,0.58634
150.jpg,0.48757,0.50249,0.00994
151.jpg,0.00213,0.01442,0.98345
152.jpg,0.00003,0.99979,0.00018
153.jpg,0.00285,0.30309,0.69407
154.jpg,0.25479,0.71088,0.03433
155.jpg,0.02806,0.89100,0.08094
156.jpg,0.00502,0.86299,0.13200
157.jpg,0.09825,0.26386,0.63789
